CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0.016675
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0.016675
CPU	 41	 0.01665
CPU	 43	 0.016675
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0
IO	 0	 49.5167
IO	 2	 49.5333
IO	 4	 49.55
IO	 6	 49.5667
IO	 8	 49.5667
IO	 10	 49.5833
IO	 12	 49.6
IO	 14	 49.6166
IO	 16	 49.6167
IO	 18	 49.6334
IO	 20	 49.6167
IO	 22	 49.6333
IO	 24	 49.6333
IO	 26	 49.6333
IO	 28	 49.6334
IO	 30	 49.6167
IO	 32	 49.6333
IO	 34	 49.6166
IO	 36	 49.6
IO	 38	 49.6
IO	 40	 49.5833
IO	 42	 49.5667
IO	 44	 49.55
IO	 46	 49.5333
IO	 48	 49.5167
